@T,table
Created,2016-10-05 09:09
Author,HortonMachine library
@H,timestamp,value_769,value_1291,value_1292,value_1039,value_1040,value_1041,value_1042,value_1179,value_1064,value_1065,value_1066,value_1068,value_1069,value_1070,value_944,value_945,value_946,value_1202,value_1075,value_693,value_1209,value_1210,value_1211,value_699,value_1212,value_961,value_1221,value_1097,value_841,value_970,value_1104,value_1105,value_1242,value_613,value_614,value_615,value_616,value_617,value_618,value_619,value_1260,value_620,value_621,value_622,value_1263,value_623,value_624,value_625,value_626,value_627,value_628,value_629,value_630,value_762,value_763
ID,,769,1291,1292,1039,1040,1041,1042,1179,1064,1065,1066,1068,1069,1070,944,945,946,1202,1075,693,1209,1210,1211,699,1212,961,1221,1097,841,970,1104,1105,1242,613,614,615,616,617,618,619,1260,620,621,622,1263,623,624,625,626,627,628,629,630,762,763
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000-01-01 00:00,1.5821993909693637,1.7535660309011805,1.7260176564917977,1.527677753622116,1.547320715120081,1.570280001151037,1.6112567186610818,1.547407187568969,1.888289439683745,1.8126816636797383,1.759762472958815,1.488319752091918,1.5212364947212738,1.5346487201577086,1.5408541342960111,1.5668033812724445,1.6543466671799822,1.7955035383289482,1.865516543654705,1.674418507816585,1.413855791277283,1.4629388004405568,1.487431687919413,1.6014567747053148,1.4909934054209837,1.718672922900909,1.76816839326405,1.602899720160398,1.6801085459100134,1.5375183557918048,1.6468317971945872,1.8169097264665641,1.4964632477887942,1.6496411851964277,1.655632518574016,1.6358352475823827,1.610084976532465,1.5945615760189698,1.6217048804546703,1.6214520973304294,1.6007026548651389,1.6322299291051983,1.6681101202072248,1.6933968728719313,1.4360180449615565,1.7265579568351175,1.7447393281169608,1.714633336643733,1.7055114500702397,1.7034503758696093,1.6785477815482333,1.655433767424023,1.7029849603002172,1.6716706354753226,1.6480999299357588
,2000-01-01 01:00,1.5821993909693637,1.7535660309011805,1.7260176564917977,1.527677753622116,1.547320715120081,1.570280001151037,1.6112567186610818,1.547407187568969,1.888289439683745,1.8126816636797383,1.759762472958815,1.488319752091918,1.5212364947212738,1.5346487201577086,1.5408541342960111,1.5668033812724445,1.6543466671799822,1.7955035383289482,1.865516543654705,1.674418507816585,1.413855791277283,1.4629388004405568,1.487431687919413,1.6014567747053148,1.4909934054209837,1.718672922900909,1.76816839326405,1.602899720160398,1.6801085459100134,1.5375183557918048,1.6468317971945872,1.8169097264665641,1.4964632477887942,1.6496411851964277,1.655632518574016,1.6358352475823827,1.610084976532465,1.5945615760189698,1.6217048804546703,1.6214520973304294,1.6007026548651389,1.6322299291051983,1.6681101202072248,1.6933968728719313,1.4360180449615565,1.7265579568351175,1.7447393281169608,1.714633336643733,1.7055114500702397,1.7034503758696093,1.6785477815482333,1.655433767424023,1.7029849603002172,1.6716706354753226,1.6480999299357588

