@T,table
Created,2016-09-09 14:27
Author,HortonMachine library
@H,timestamp,value_1221,value_1097,value_944,value_945,value_946,value_699,value_693,value_1105,value_1104,value_1242,value_1263,value_1260,value_769,value_614,value_615,value_1039,value_613,value_618,value_619,value_616,value_617,value_622,value_623,value_620,value_621,value_762,value_627,value_626,value_1291,value_763,value_625,value_624,value_630,value_629,value_1292,value_628,value_1041,value_1040,value_1042,value_1179,value_1066,value_1064,value_1065,value_1070,value_1068,value_1069,value_1202,value_970,value_1210,value_1075,value_1211,value_961,value_1209,value_841,value_1212
ID,,1221,1097,944,945,946,699,693,1105,1104,1242,1263,1260,769,614,615,1039,613,618,619,616,617,622,623,620,621,762,627,626,1291,763,625,624,630,629,1292,628,1041,1040,1042,1179,1066,1064,1065,1070,1068,1069,1202,970,1210,1075,1211,961,1209,841,1212
Type,Date,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double,Double
Format,yyyy-MM-dd HH:mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2000-01-01 00:00,0.6275381545729131,0.6583805305888218,0.7599493396886533,0.7686199069964008,0.7457956775648988,0.8062402311051924,0.7956171906563239,0.6841702324139328,0.665605230033429,0.6006787793946538,0.5926115114738342,0.5558844320791376,0.8004806987706694,0.8059164866034054,0.796755038534762,0.7050582821345742,0.807783478592122,0.7763472392380157,0.7543735891114148,0.7945083313015746,0.7896786512455278,0.7187579597942548,0.6997804875584177,0.7301716569103681,0.7153206780554022,0.7818831712209755,0.6047154775682311,0.617797440651569,0.6035278020247191,0.7683898678375141,0.6421335650686189,0.6759689664672611,0.542880908928428,0.5216880391735614,0.5719157900924432,0.561344870850639,0.6918863967590423,0.6802976967313888,0.708237218292317,0.6189074808225171,0.6957692512370378,0.694257670109063,0.7044149587069105,0.687154504345851,0.7025316716546377,0.6652205457329878,0.6592739040468036,0.7397870865396419,0.6687149934609096,0.6938105197718478,0.6661140986976545,0.7216447665422472,0.6650530393664578,0.7595949768583736,0.6738508757929713
,2000-01-01 01:00,0.6275381545729131,0.6583805305888218,0.7599493396886533,0.7686199069964008,0.7457956775648988,0.8062402311051924,0.7956171906563239,0.6841702324139328,0.665605230033429,0.6006787793946538,0.5926115114738342,0.5558844320791376,0.8004806987706694,0.8059164866034054,0.796755038534762,0.7050582821345742,0.807783478592122,0.7763472392380157,0.7543735891114148,0.7945083313015746,0.7896786512455278,0.7187579597942548,0.6997804875584177,0.7301716569103681,0.7153206780554022,0.7818831712209755,0.6047154775682311,0.617797440651569,0.6035278020247191,0.7683898678375141,0.6421335650686189,0.6759689664672611,0.542880908928428,0.5216880391735614,0.5719157900924432,0.561344870850639,0.6918863967590423,0.6802976967313888,0.708237218292317,0.6189074808225171,0.6957692512370378,0.694257670109063,0.7044149587069105,0.687154504345851,0.7025316716546377,0.6652205457329878,0.6592739040468036,0.7397870865396419,0.6687149934609096,0.6938105197718478,0.6661140986976545,0.7216447665422472,0.6650530393664578,0.7595949768583736,0.6738508757929713

